frame,emotion
1699,neutral
1700,neutral
1701,neutral
1702,happy
1703,happy
1704,neutral
1705,neutral
1706,neutral
1707,neutral
1708,neutral
1709,neutral
1710,neutral
1711,neutral
1712,neutral
1713,neutral
1714,neutral
1715,happy
1716,happy
1717,happy
1718,happy
1719,happy
1720,happy
1721,happy
1722,happy
1723,happy
1724,happy
1725,happy
1726,happy
1727,happy
1728,happy
1729,happy
1730,happy
1731,happy
1732,happy
1733,happy
1734,happy
1735,happy
1736,happy
1737,happy
1738,happy
1739,happy
1740,happy
1741,happy
1742,happy
1743,happy
1744,happy
1745,happy
1746,happy
1747,happy
1748,happy
1749,happy
1750,happy
1751,fear
1752,fear
1753,fear
1754,fear
1755,fear
1756,fear
1757,fear
1758,fear
1759,fear
1760,fear
1761,fear
1762,fear
1763,fear
1764,fear
1765,fear
1766,fear
1767,fear
1768,fear
1769,fear
1770,happy
1771,fear
1772,fear
1773,fear
1774,fear
1775,fear
1776,fear
1777,fear
1778,happy
1779,happy
1780,happy
1781,happy
1782,happy
1783,happy
1784,happy
1785,happy
1786,happy
1787,happy
1788,happy
1789,happy
1790,fear
1791,fear
1792,fear
1793,fear
1794,fear
1795,fear
1796,fear
1797,fear
1798,fear
1799,fear
1800,fear
1801,fear
1802,fear
1803,fear
1804,fear
1805,fear
1806,fear
1807,fear
1808,fear
1809,neutral
1810,neutral
1811,neutral
1812,neutral
1813,neutral
1814,neutral
1815,neutral
1816,fear
1817,fear
1818,fear
1819,fear
1820,fear
1821,fear
1822,fear
1823,fear
1824,fear
1825,fear
1826,fear
1827,fear
1828,fear
1829,fear
1830,fear
1831,fear
1832,fear
1833,fear
1834,fear
1835,fear
1836,fear
1837,fear
1838,fear
1839,fear
1840,fear
1841,fear
1842,fear
1843,fear
1844,fear
1845,fear
1846,fear
1847,fear
1848,fear
1849,fear
1850,fear
1851,fear
1852,fear
1853,fear
1854,fear
1855,neutral
1856,neutral
1857,happy
1858,happy
1859,happy
1860,happy
1861,happy
1862,happy
1863,happy
1864,happy
1865,happy
1866,happy
1867,happy
1868,happy
1869,happy
1870,happy
1871,happy
1872,happy
1873,happy
1874,happy
1875,happy
1876,happy
1877,happy
